,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
355,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,Students (Dominican Republic); Teachers (Dominican Republic); Women (Dominican Republic),,Dominican Republic,6939905,2019-11-23,DOM38,38,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 23 November 2019 in Santo Domingo, dozens of women connected with the Autonomous University protested against violence against women with the _ride march_ marching through the campus dressed in wedding dresses. [size=dozens]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2019
356,Rioters (Martinique),Police Forces of France (2017-),La Trinite,Le Robert,,,,Martinique,6946570,2019-11-23,MTQ12,12,Riots,0,1,5,1,15,474,MTQ,14.6775,Le Robert,-60.9423,"On 23 November 2019 in Le Robert, demonstrators and police clashed outside a closed down hypermarket. The demonstrators, some masked, demand compensation for the use of chlordecone and paraquat on plantations. [size=no report]",Caribbean,France Info,International,Violent demonstration,1,1582840214,2019
357,Unidentified Gang (Trinidad and Tobago),Civilians (Trinidad and Tobago),Tunapuna/Piarco,,,,,Trinidad and Tobago,6962556,2019-11-23,TTQ160,160,Violence against civilians,3,1,3,7,37,780,TTO,10.6185,Maloney Gardens,-61.3201,"On 23 November 2019 in Maloney Gardens, two men and a woman were shot and killed by four gunmen who entered their apartment. Police say the killings were gang related.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
358,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Kingston,,,,,Jamaica,6958800,2019-11-23,JAM134,134,Violence against civilians,2,1,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On 23 November 2019 in the Bayshore Park area outside Kingston, masked men entered and opened gunfire at a group at a party, killing two men, injuring six others.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
359,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Arima,,,,Police Forces of Trinidad and Tobago (2015-); Women (Trinidad and Tobago),Trinidad and Tobago,6969585,2019-11-23,TTQ159,159,Violence against civilians,0,1,3,7,37,780,TTO,10.6374,Arima,-61.2823,"On 23 November 2019 in Malabar, Arima, an off-duty police officer was shot and injured while she was driving, by people in another car pulling up beside her. Another woman who was a passenger in her car was also shot and injured.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1582840377,2019
360,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958647,2019-11-21,HTI366,366,Battles,0,1,3,1,13,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 21 November 2019 in Port-au-Prince, an armed group opened fire on an armored police vehicle.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
361,Protesters (Trinidad and Tobago),,Couva-Tabaquite-Talparo,,,OWTU: Oilfield Workers' Trade Union; Labour Group (Trinidad and Tobago),,Trinidad and Tobago,6969571,2019-11-21,TTQ158,158,Protests,0,1,6,0,60,780,TTO,10.3664,Claxton Bay,-61.4599,"On 21 November 2019 in Claxton Bay, members of the OWTU union protested for job security and against unfair hiring practices at the Cemex factory. [size=no report]",Caribbean,Trinidad and Tobago Guardian,National,Peaceful protest,1,1582840377,2019
362,Protesters (Haiti),,Artibonite,Gonaives,Gonaives,,,Haiti,6958347,2019-11-20,HTI364,364,Protests,0,1,6,0,60,332,HTI,19.4475,Gonaives,-72.6890,"On 20 November 2019 in Gonaives, hundreds of protesters marched the streets against the visit to Haiti of the permanent representative of the USA to the UN. [size=hundreds]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
363,Protesters (Martinique),,Fort-de-France,Fort-de-France,,,,Martinique,6946592,2019-11-20,MTQ11,11,Protests,0,1,6,0,60,474,MTQ,14.6037,Fort-de-France,-61.0742,"On 20 November 2019 in Fort-de-France, there was a protest for better quality of drinking water in Martinique. [size=no report]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2019
364,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958391,2019-11-20,HTI365,365,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 20 November 2019 in Port-au-Prince, there were demonstrations against the visit to Haiti of the permanent representative of the USA to the UN, demonstrators set up barricades, some were set on fire, in various parts of the city. Close to the airport, the police dispersed a group of demonstrators using teargas. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
365,Protesters (Puerto Rico),,Vieques,,,,,Puerto Rico,6941240,2019-11-20,PRT202,202,Protests,0,1,6,0,60,630,PRI,18.1493,Vieques,-65.4413,"On 20 November 2019 in Vieques, about a dozen protesters received the governor visiting the island, accusing her of lying and demanding a better system of boat transportation. [size=a dozen]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
366,Unidentified Armed Group (Dominican Republic),Civilians (Dominican Republic),Santiago,Santiago de los Caballeros,,,Former Police Forces of Dominican Republic (2004-),Dominican Republic,6939909,2019-11-19,DOM37,37,Violence against civilians,1,1,3,7,37,214,DOM,19.4517,Santiago de los Caballeros,-70.6970,"On 19 November 2019 in Villa Verde, Santiago, a retired police officer was attacked in his home, he suffered serious knife injuries and head trauma. He died from the injuries in hospital on November 23.",Caribbean,El Nacional (Dominican Republic),National,Attack,1,1582839948,2019
367,Rioters (Haiti),Police Forces of Haiti (2011-),Nippes,Miragoane,Miragoane,,,Haiti,6985227,2019-11-19,HTI555,555,Riots,0,1,5,1,15,332,HTI,18.4128,Chalon,-73.0882,"On 19 November 2019, in Chalon, police officers used tear gas to disperse armed individuals who were setting tires on fire as part of a demonstration to demand the resignation of the president. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
368,Protesters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,Students (Haiti),,Haiti,6985228,2019-11-19,HTI556,556,Protests,0,1,6,1,16,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 19 November 2019, in Port-au-Prince, police forces shot at students who were protesting and making demands to the Ministry of Education in front of the faculty of the University Haiti. [size=no report]",Caribbean,Alterpresse,National,Excessive force against protesters,1,1583951163,2019
369,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985229,2019-11-19,HTI557,557,Violence against civilians,3,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 19 November 2019, in Port-au-Prince, three people were shot and killed by armed individuals in the Bel Air neighbourhood. This took place two weeks after a similar event perpetrated by gang members occurred in the same neighbourhood. 3 fatalities.",Caribbean,Alterpresse,National,Attack,1,1583951163,2019
370,Unidentified Gang (Haiti),Civilians (Haiti),Artibonite,Gonaives,Gonaives,,,Haiti,6958608,2019-11-19,HTI361,361,Violence against civilians,1,1,3,7,37,332,HTI,19.4475,Gonaives,-72.6890,"On 19 November 2019 in Gonaives, a man was found dead in a prayer position in his home, he was a formerly known football player, and reported to be a collateral victim in the gang wars between gangs from Rabato and Dekaro.",Caribbean,Loop News Haiti,National,Attack,2,1582840328,2019
371,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,Labour Group (Haiti),Haiti,6958642,2019-11-19,HTI363,363,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 19 November 2019 in Turgeau, Port-au-Prince, during the funerals of five people killed in anti-government demonstrations, several dozens of demonstrators marched with the caravans, throwing stones at a police patrol and setting fire to two trucks transporting mineral water. [size=several dozen]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840328,2019
372,Protesters (Puerto Rico),,Guayama,,,,,Puerto Rico,6941257,2019-11-19,PRT200,200,Protests,0,1,6,0,60,630,PRI,17.9841,Guayama,-66.1138,"On 19 November 2019 in Guayama, about 60 protesters blocked the entrance to a coal plant, protesting against pollution and calling the plant unnecessary. [size=about 60]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
373,Protesters (Grenada),,Saint George,,,PWU: Public Workers Union; Labour Group (Grenada),,Grenada,6963274,2019-11-19,GRD1,1,Protests,0,1,6,0,60,308,GRD,12.0529,Saint George's,-61.7523,"On 19 November 2019 in Saint George's, Public Workers Union (PWU) members protested the nonpayment of increments for 243 workers at a local college. [size=243]",Caribbean,Now Grenada,National,Peaceful protest,1,1582840342,2019
374,Protesters (Puerto Rico),,San Juan,,,Government of Puerto Rico (2019-),,Puerto Rico,6941271,2019-11-19,PRT201,201,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On 19 November 2019 in San Juan, thousands of protesters marched against discrimination of those living in public housing. The governor and other government representatives were also present. [size=thousands]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
375,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Nippes,Miragoane,Miragoane,,,Haiti,6958685,2019-11-19,HTI362,362,Battles,1,1,3,1,13,332,HTI,18.4423,Miragoane,-73.0876,"On 19 November 2019 in Chalon, Miragoane, a police officer on patrol in a police car was shot and killed by unidentified shooters.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
376,Protesters (Haiti),,Grand'Anse,Jeremie,Jeremie,,,Haiti,6985222,2019-11-18,HTI550,550,Protests,0,1,6,0,60,332,HTI,18.6500,Jeremie,-74.1167,"On 18 November 2019, in Jeremie, people marched as part of anti-government protests. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
377,Protesters (Haiti),,Sud,Les Cayes,Les Cayes,,,Haiti,6985223,2019-11-18,HTI551,551,Protests,0,1,6,0,60,332,HTI,18.1933,Les Cayes,-73.7460,"On 18 November 2019, in Les Cayes, people marched as part of anti-government protests. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
378,Protesters (Haiti),,Centre,Mirebalais,Mirebalais,,,Haiti,6985224,2019-11-18,HTI552,552,Protests,0,1,6,0,60,332,HTI,18.8346,Mirebalais,-72.1048,"On 18 November 2019, in Mirebalais, people marched as part of anti-government protests. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
379,Protesters (Haiti),,Ouest,Leogane,Petit-Goave,,,Haiti,6985225,2019-11-18,HTI553,553,Protests,0,1,6,0,60,332,HTI,18.4312,Petit-Goave,-72.8652,"On 18 November 2019, in Petit-Goave, people marched as part of anti-government protests. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
380,Protesters (Haiti),,Artibonite,Saint-Marc,Saint-Marc,,,Haiti,6985226,2019-11-18,HTI554,554,Protests,0,1,6,0,60,332,HTI,19.1082,Saint-Marc,-72.6938,"On 18 November 2019, in Saint-Marc, people marched as part of anti-government protests. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
381,Rioters (Haiti),Police Forces of Haiti (2011-),Nippes,Miragoane,Miragoane,,,Haiti,6958360,2019-11-18,HTI359,359,Riots,0,1,5,1,15,332,HTI,18.4423,Miragoane,-73.0876,"On 18 November 2019 in Miragoane, thousands of people marched in an anti-government demonstration. Some demonstrators threw rocks at the police station. [size=thousands]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
382,Rioters (Haiti),Private Security Forces (Haiti),Nord,Cap-Haitien,Cap-Haitien,,Civilians (Haiti),Haiti,6958634,2019-11-18,HTI357,357,Riots,3,1,5,8,58,332,HTI,19.7594,Cap-Haitien,-72.1982,"On 18 November 2019 in Cap-Haitien, three people were burned alive in a container at the margin of an anti-government demonstration. A security officer working in a shop sheltered by the container reportedly fired on anti-government demonstrators to disperse them. A teenager was hit in the head and rushed to the hospital, the demonstrators responded by setting fire to the container. [size=no report]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840328,2019
383,Rioters (Haiti),Unidentified Armed Group (Haiti),Ouest,Port-au-Prince,Port-au-Prince,Civilians (Haiti); Journalists (Haiti),,Haiti,6958419,2019-11-18,HTI360,360,Riots,0,1,5,3,35,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 18 November 2019 in Port-au-Prince, a few hundred demonstrators participated in anti-government demonstrations, marching peacefully at first and then throwing rocks, bottles and Molotov cocktails at the Canadian embassy. At Delmas, an armed group fired shots at the demonstrators, injuring several people including a journalist. Some demonstrators looted a shop and were arrested. [size=a few hundred]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
384,Rioters (Dominica),Police Forces of Dominica (2000-),Saint George,,,UWP: United Workers Party,,Dominica,6936409,2019-11-18,DMA12,12,Riots,0,1,5,1,15,212,DMA,15.3017,Roseau,-61.3881,"On 18 November 2019 in Roseau, over 200 people connected with opposition party UWP participated in an electoral reform demonstration where some demonstrators were uprooting plants, blocking roads, burning garbage, spreading garbage on the streets, and removing police barricades. The UWP leader on November 19 condemned the police for clashing with demonstrators and spraying tear gas and shooting rubber bullets at them. [size=more than 200]",Caribbean,Dominica News,National,Violent demonstration,1,1582839937,2019
385,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Leogane,Leogane,,,Haiti,6958427,2019-11-18,HTI358,358,Riots,0,1,5,1,15,332,HTI,18.5111,Leogane,-72.6334,"On 18 November 2019 in Leogane, during an anti-government demonstration, two local opposition leaders were arrested. Also, a bridge on the national highway was destroyed. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
386,PNM: People's National Movement,Civilians (Trinidad and Tobago),Sangre Grande,,,,UNC: United National Congress,Trinidad and Tobago,6962563,2019-11-18,TTQ157,157,Violence against civilians,0,1,3,7,37,780,TTO,10.6499,Valencia,-61.1999,"On 18 November 2019 in Valencia, there was a clash between UNC activists hanging up party flags and five men in PNM shirts who tore down their flags, and when confronted, the PNM supporters threatened them with a gun and chased them away.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
387,Protesters (Haiti),,Artibonite,Gonaives,Gonaives,,,Haiti,6985208,2019-11-18,HTI549,549,Protests,0,1,6,0,60,332,HTI,19.4475,Gonaives,-72.6890,"On 18 November 2019, in Gonaives, people marched as part of anti-government protests. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
388,Protesters (Haiti),,Nord,Cap-Haitien,Cap-Haitien,Police Forces of Haiti (2011-),,Haiti,6985218,2019-11-17,HTI546,546,Protests,0,1,6,0,60,332,HTI,19.7594,Cap-Haitien,-72.1982,"On 17 November 2019, in Cap-Haitien, police officers gathered to demand the right to create unions and better working conditions. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
